urun;Sutun_3;Sutun_4;Sutun_5
Harkis Bulgur;1;;
;1;Bulgur;129.0
;2;yağ;12.0
;3;Köri;0.1
;4;Zerdecal;0.1
;5;tuz;1.0
;6;kuru domates;13.0
;7;Mercimek;13.0
;8;d. soya fasulyesi;13.0
;9;maydanoz;1.0
;10;d. Maydanoz;3.0
;;Toplam Harkis Bulgur;185.5
akordionKapa;;;
Kana Bulgur;1;;
;1;Bulgur;131.0
;2;yağ;12.0
;3;Köri;0.1
;4;Zerdecal;0.1
;5;tuz;1.0
;6;kuru domates;13.0
;7;Mercimek;13.0
;8;d. soya fasulyesi;13.0
;9;maydanoz;0.5
;10;d. Maydanoz;1.5
;11;nohut;30.0
;;Toplam Kana Bulgur;215.5
akordionKapa;;;
Kana ja Curry Pasta;1;;
;1;makarna;128.0
;2;köri sosu;42.0
;3;tavuk küp;40.0
;4;d. havuç;22.0
;5;d. mısır;17.0
;6;d. bezelye;17.0
;7;yağ;7.8
;8;tuz;1.0
;;Toplam Kana ja Curry Pasta;275.0
akordionKapa;;;
Kana Pasta Caesar;1;;
;1;makarna;100.0
;2;tavuk küp;35.0
;3;Sezar sos;40.0
;;Toplam Kana Pasta Caesar;175.3
akordionKapa;;;
Kana Pesto Pasta;1;;
;1;makarna;165.0
;2;tavuk küp;54.8
;3;yeşil pesto;40.0
;4;Karışık Paprika (şerit);15.0
;;Toplam Kana Pesto Pasta;275.0
akordionKapa;;;
Kasvis Couscous;1;;
;1;ince bulgur;165.3
;2;Karışık Paprika (küp);41.3
;3;limon suyu;16.4
;4;Sambal oelek;14.0
;5;maydanoz;2.0
;6;d. Maydanoz;6.2
;7;d. Soğan;8.2
;8;yağ;8.2
;9;domates salçası;8.2
;10;meksika baharat;4.1
;11;kurutulmuş kırmızı biber;0.8
;;Toplam Kasvis Couscous;275.0
akordionKapa;;;
Kikherne Kana;1;;
;1;nohut;168.0
;2;Karışık Paprika (küp);23.5
;3;d. Soğan;23.5
;4;tavuk küp;40.0
;5;maydanoz;2.2
;6;d. Maydanoz;6.0
;7;limon suyu;7.1
;8;yağ;2.4
;9;sumak;1.2
;10;kurutulmuş kırmızı biber;1.2
;;Toplam Kikherne Kana;275.3
akordionKapa;;;
Kreikka Salaatti;1;;
;1;makarna;155.8
;2;küp peynir;31.3
;3;Karışık Paprika (şerit);15.5
;4;dilim zeytin;10.4
;5;yağ;10.4
;6;tuz;0.8
;7;meksika baharat;0.5
;10;Cacık (Salatasız);50.0
;;Toplam Kreikka Salaatti;275.0
akordionKapa;;;
Minttu Couscous;1;;
;1;ince bulgur;151.3
;2;Karışık Paprika (küp);55.5
;3;yağ;16.5
;4;d. Soğan;13.8
;5;kuru domates;13.8
;6;maydanoz;2.3
;7;d. Maydanoz;6.0
;8;limon suyu;5.0
;9;nane;8.3
;10;tuz;1.9
;11;kimyon;0.8
;;Toplam Minttu Couscous;275.2
akordionKapa;;;
Pesto Pasta;1;;
;1;makarna;155.1
;2;Kırmızı biber turşusu;41.3
;3;küp peynir;30.3
;4;yeşil pesto;24.8
;5;dilim zeytin;11.0
;6;yağ;11.0
;7;tuz;1.4
;;Toplam Pesto Pasta;275.0
akordionKapa;;;
Spelttihelmi;1;;
;1;inci arpa;182.9
;2;Karışık Paprika (küp);46.8
;3;kuru domates;8.3
;4;yağ;22.0
;5;sumak;5.5
;6;maydanoz;2.6
;7;d. Maydanoz;7.0
;;Toplam Spelttihelmi;275.3
akordionKapa;;;
Tonnikala Kvinoa;1;;
;1;quinoa;60.0
;2;inci arpa;55.0
;3;barbunya konserve;24.0
;4;kırmızı soğan turşu;15.0
;5;kuru domates;14.0
;6;maydanoz;2.5
;7;d. Maydanoz;8.5
;8;limon suyu;4.0
;;lime soft;0.0
;9;Vinaigrette citrus;2.0
;;Toplam Tonnikala Kvinoa;185.3
akordionKapa;;;
Tonnikala Pasta;1;;
;1;Ton Balığı;40.0
;2;makarna;150.0
;3;aioli;40.0
;4;d. mısır;15.0
;5;d. bezelye;15.0
;6;d. havuç;15.0
;;Toplam Tonnikala Pasta;275.3
akordionKapa;;;
