urun;Sutun_3;Sutun_4;Sutun_5
Kalkkuna - Juusto;1;;
;1;dijon;6.0
;2;mayonez;24.0
;;Toplam 1;30.0
;x;Üçgen Ekmek;80.0
;;Toplam 2;80.0
;x;Hindi Salam;30.0
;;Toplam 3;30.0
;x;Gouda Peynir;30.0
;;Toplam 4;30.0
;x;Provence Salat;10.0
;;Toplam 5;10.0
;;Toplam Kalkkuna - Juusto;180.0
akordionKapa;;;
Kana Pekoni;1;;
;x;Üçgen Ekmek;80.0
;;Toplam 1;80.0
;x;tavuk şerit;20.0
;;Toplam 2;20.0
;x;tavuk Pastırma;20.0
;;Toplam 3;20.0
;x;mayonez;40.0
;;Toplam 4;40.0
;x;Provence Salat;10.0
;;Toplam 5;10.0
;;Toplam Kana Pekoni;170.0
akordionKapa;;;
Kana Pesto Mozzarella;1;;
;1;yeşil pesto;20.0
;2;mayonez;20.0
;;Toplam 1;40.0
;x;Üçgen Ekmek;80.0
;;Toplam 2;80.0
;x;tavuk şerit;20.0
;;Toplam 3;20.0
;x;mozarella wrap;20.0
;;Toplam 4;20.0
;x;Provence Salat;10.0
;;Toplam 5;10.0
;;Toplam Kana Pesto Mozzarella;170.0
akordionKapa;;;
Tonni - Aioli;1;;
;1;Ton Balığı;40.0
;2;aioli;40.0
;;Toplam 1;80.0
;x;Üçgen Ekmek;80.0
;;Toplam 2;80.0
;x;Provence Salat;10.0
;;Toplam 3;10.0
;;Toplam Tonni - Aioli;170.0
akordionKapa;;;
